com.samsung.shealth.activity.day_summary,6261011,6
movement_type,create_sh_ver,energy_type,exercise_time,step_count,exercise_calorie_target,active_time,target,others_time,modify_sh_ver,update_time,floors_target,create_time,floor_count,dynamic_active_time_target,exercise_time_target,goal,longest_active_time,score,move_hourly_count,duration_type,move_hourly_target,distance,dynamic_active_time,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
,,,,3565,,2283118,,0,,2015-10-31 03:55:00.668,,2015-10-30 04:00:01.346,,,,60,120000,61,,,,2892.5796,,161.05998,cd180c2e-152f-4040-80f3-ef73c7c29f95.extra_data.json,TiXFQW5DKB,41382,com.sec.android.app.shealth,2241736,57900000,cd180c2e-152f-4040-80f3-ef73c7c29f95,1446163200000,
null
null
,,,,1554,,1000835,,0,,2015-12-23 02:53:16.037,,2015-12-21 05:00:01.720,,,,60,60000,26,,,,1259.3901,,70.420006,64dbf490-ac09-4e1f-902e-b42dfe0aeee7.extra_data.json,OBFuvbOf82,20585,com.sec.android.app.shealth,980250,48120000,64dbf490-ac09-4e1f-902e-b42dfe0aeee7,1450656000000,
,,,,11656,,7059451,,0,,2015-11-23 04:44:08.509,,2015-11-22 05:01:01.262,,,,60,3547278,195,,,,6854.9385,,370.17902,b0717aa0-8b1f-495e-815c-77f14da19822.extra_data.json,OBFuvbOf82,29398,com.sec.android.app.shealth,7030053,36360000,b0717aa0-8b1f-495e-815c-77f14da19822,1448150400000,
,,,,2402,,1571429,,0,,2016-07-08 01:07:28.812,,2016-07-07 04:02:03.583,,,,60,60000,41,,,,1946.2401,,111.44999,fc6efcc5-64a9-4adf-8e84-e27ad1fffa5d.extra_data.json,OBFuvbOf82,46000,com.sec.android.app.shealth,1525429,38700000,fc6efcc5-64a9-4adf-8e84-e27ad1fffa5d,1467849600000,
,,,,1795,,1159209,,0,,2016-01-30 07:35:24.437,,2016-01-29 05:00:01.050,,,,60,60000,31,,,,1472.3901,,83.82998,6df119e8-eba5-4244-a02a-b55fe0a3e9a8.extra_data.json,OBFuvbOf82,19149,com.sec.android.app.shealth,1140060,49260000,6df119e8-eba5-4244-a02a-b55fe0a3e9a8,1454025600000,
,,,,5964,,3853006,,0,,2015-12-20 18:59:47.771,,2015-12-19 05:00:02.834,,,,60,360000,105,,,,4648.0005,,258.04,c97d3a3e-8487-4fc5-9952-b5233c693a0e.extra_data.json,OBFuvbOf82,13569,com.sec.android.app.shealth,3839437,30540000,c97d3a3e-8487-4fc5-9952-b5233c693a0e,1450483200000,
,,,,7498,,4842607,,0,,2015-12-26 07:45:51.183,,2015-12-24 05:00:02.026,,,,60,120000,131,,,,6092.8384,,348.62006,6ef63d10-9579-4762-8b11-f1fe53954f41.extra_data.json,OBFuvbOf82,106656,com.sec.android.app.shealth,4735951,30180000,6ef63d10-9579-4762-8b11-f1fe53954f41,1450915200000,
,,,,1835,,1164332,,0,,2016-04-26 01:53:25.835,,2016-04-25 04:04:48.889,,,,60,120000,30,,,,1474.0001,,82.5,dff9ef44-5b9c-48fb-9059-6643dacbeb9d.extra_data.json,OBFuvbOf82,26564,com.sec.android.app.shealth,1137768,50400000,dff9ef44-5b9c-48fb-9059-6643dacbeb9d,1461542400000,
null
,,,,4489,,2906565,,0,,2015-12-24 06:58:03.424,,2015-12-23 05:00:02.654,,,,60,120000,78,,,,3600.98,,197.92,f6f3fe80-d073-4601-972f-517f35cb40d8.extra_data.json,OBFuvbOf82,38653,com.sec.android.app.shealth,2867912,48060000,f6f3fe80-d073-4601-972f-517f35cb40d8,1450828800000,
