date,calories,carbs_g,fat_g,protein_g,chol_mg,sodium_mg,sugar_g,fiber_g
2012-10-01,2605,358,107,51,265,3893,177,26
2012-10-02,2514,318,114,43,69,2605,100,22
2012-10-03,1750,288,42,62,40,2727,77,17
2012-10-04,1493,233,37,45,15,3831,76,13
2012-10-05,2281,367,53,62,40,4184,45,17
2012-10-06,1888,269,67,78,144,2839,96,35
2012-10-07,1508,251,38,53,45,4194,112,12
2012-10-08,2055,254,92,60,95,5278,71,10
2012-10-09,2099,222,87,66,72,3309,117,21
2012-10-10,2119,256,72,70,123,5570,49,15
2012-10-11,1965,194,54,48,101,3361,22,8
2012-10-12,1625,253,54,52,102,3134,93,20
2012-10-13,1940,304,67,44,20,2135,135,19
2012-10-14,1952,222,91,62,88,3236,44,7
2012-10-15,1238,138,46,79,54,2824,56,12
2012-10-16,3320,381,153,107,265,5490,21,12
