date,meal,food_name,calories,carbs,fat,protein,cholest,sodium,sugars,fiber
2012-09-03,Snacks,Morningstar Farms,NA,NA,NA,NA,NA,NA,NA,0.5
2012-09-03,Snacks,Kroger - 2%,NA,NA,NA,NA,NA,NA,NA,NA
2012-09-03,Breakfast,"Great Value - Buttermilk Pancake Mix, 3/4 cup dry",330,63,4,9,23,915,14,2
2012-09-03,Breakfast,"Aunt Jemima - Country Rich Syrup Value Priced, 1/8 cup",105,27,0,0,0,60,15,0
2012-09-03,Lunch,"Kangaroo - Pita Pocket Bread Honey Wheat, 1 pocket",100,18,1,3,0,160,1,2
2012-09-03,Lunch,"Near East - Falafel, 4 patties",352,0,0,0,0,0,0,0
2012-09-03,Dinner,"Near East - Falafel, 3 patties",264,0,0,0,0,0,0,0
2012-09-03,Dinner,"Kangaroo - Pita Pocket Bread Honey Wheat, 1 pocket",100,18,1,3,0,160,1,2
2012-09-03,Dinner,"Chef Boyardee Cheese Pizza Kit - Homemade Pizza, 0.33 pkg",343,62,6,11,7,990,7,3
2012-09-03,Dinner,"Kroger - Low Moisture Part Skim Mozzarella Cheese - Shredded, 1/4 cup",80,1,5,8,15,170,0,0
2012-09-04,Snacks,"Edy's - Fun Flavors Peanut Butter 97 g, 97 g",260,30,14,4,15,140,23,1
2012-09-04,Snacks,"Watermelon - Raw, 1 cup, balls",46,12,0,1,0,2,10,1
2012-09-04,Snacks,"Near East - Falafel, 3 patties",264,0,0,0,0,0,0,0
2012-09-04,Snacks,"Kangaroo - Pita Pocket Bread Honey Wheat, 1 pocket",100,18,1,3,0,160,1,2
2012-09-04,Lunch,"ETCH - Ultimate Macaroni & Cheese, 1 serving",238,31,14,11,0,780,2,1
2012-09-04,Lunch,"Good Humor - Vanilla Ice Cream Sandwich, 1 sandwich (3.5 oz)",140,26,3,2,5,135,13,0
2012-09-04,Lunch,"Schwan's - Battered Corn Nuggets, 4.5 oz Approx 6 pcs",285,42,9,6,0,570,14,8
2012-09-04,Lunch,"Nabisco - Oreo Smile Chocolate Sandwich Cookies, 1 pack 6 coolies",270,41,11,2,0,240,23,2
