analysis,cutoff_hour,cutoff_hhmm,target,target_label,early_n,late_n,early_mean,late_mean,diff_early_minus_late,raw_r,raw_n,partial_r,partial_n
cutoff_sweep,26.833333333333332,02:50,cal_next,Next-day calories,1324,708,2207.0513595166162,2193.882768361582,13.168591155034392,0.012828905884322688,2032,0.022880937081038683,2032
cutoff_sweep,26.833333333333332,02:50,steps_next,Next-day steps,1335,721,3635.667415730337,3824.5339805825242,-188.86656485218737,-0.027202988638220817,2056,-0.020789069138721188,2033
cutoff_sweep,26.833333333333332,02:50,weight_change,Weight change,623,337,-0.0321027287319424,-0.13887240356083047,0.10676967482888808,0.04748218117471636,960,0.05032302953935125,958
cutoff_sweep,26.833333333333332,02:50,sleep_hours,Sleep duration,1335,722,8.183535580524344,7.122146814404433,1.0613887661199115,0.33145450545707794,2057,0.26244814157329843,2033
cutoff_sweep,27.0,03:00,calories,Same-day calories,1444,589,2217.470221606648,2164.5466893039047,52.9235323027433,0.04907689084327012,2033,0.03459717102319937,2033
cutoff_sweep,27.0,03:00,surplus,Same-day surplus,1444,589,-11.146814404432133,-35.48556876061121,24.338754356179074,0.022780925630583697,2033,0.019426459779772164,2033
cutoff_sweep,27.0,03:00,steps,Same-day steps,1458,599,3670.0864197530864,3775.20367278798,-105.11725303489357,-0.014416339625122135,2057,0.014721268259220184,2033
cutoff_sweep,27.0,03:00,tdee,Same-day TDEE,1444,589,2228.6170360110805,2200.032258064516,28.584777946564373,0.07816348035228804,2033,0.048634801285358804,2033
cutoff_sweep,27.0,03:00,cal_next,Next-day calories,1444,588,2204.1537396121885,2198.311224489796,5.842515122392342,0.005417036827693265,2032,0.012329504237399525,2032
cutoff_sweep,27.0,03:00,steps_next,Next-day steps,1458,598,3637.054183813443,3860.0,-222.94581618655684,-0.030562012873809538,2056,-0.026038679190794944,2033
cutoff_sweep,27.0,03:00,weight_change,Weight change,674,286,-0.03946587537092004,-0.1405594405594401,0.10109356518852007,0.04307846745030575,960,0.04842588991933997,958
cutoff_sweep,27.0,03:00,sleep_hours,Sleep duration,1458,599,8.120706447187928,7.057128547579299,1.063577899608629,0.31615618766038356,2057,0.25465073638071745,2033
cutoff_sweep,27.166666666666668,03:10,calories,Same-day calories,1551,482,2215.5087040618955,2159.109958506224,56.39874555567167,0.04903270318795459,2033,0.03759847670069568,2033
cutoff_sweep,27.166666666666668,03:10,surplus,Same-day surplus,1551,482,-11.37330754352031,-40.1597510373444,28.786443493824088,0.025260922402966086,2033,0.02184021946274065,2033
cutoff_sweep,27.166666666666668,03:10,steps,Same-day steps,1567,490,3683.751754945756,3754.885714285714,-71.13395933995798,-0.009147414296637412,2057,0.016019395880782675,2033
cutoff_sweep,27.166666666666668,03:10,tdee,Same-day TDEE,1551,482,2226.8820116054158,2199.2697095435683,27.61230206184746,0.07078803478138274,2033,0.050466417152637034,2033
cutoff_sweep,27.166666666666668,03:10,cal_next,Next-day calories,1550,482,2199.604516129032,2211.655601659751,-12.051085530718865,-0.010481060317877999,2032,-0.0033716397166211436,2032
cutoff_sweep,27.166666666666668,03:10,steps_next,Next-day steps,1567,489,3656.1391193363115,3848.5378323108384,-192.39871297452692,-0.024725459079738724,2056,-0.01996931137363887,2033
cutoff_sweep,27.166666666666668,03:10,weight_change,Weight change,729,231,-0.06556927297668055,-0.08225108225108163,0.016681809274401077,0.006644107836454647,960,0.009358323526709674,958
cutoff_sweep,27.166666666666668,03:10,sleep_hours,Sleep duration,1567,490,8.077785577536694,6.957795918367347,1.119989659169348,0.31216683382066324,2057,0.2592509225898953,2033
cutoff_sweep,27.333333333333332,03:20,calories,Same-day calories,1633,400,2212.2088181261483,2161.02,51.18881812614836,0.041599217824675294,2033,0.029471447007342187,2033
cutoff_sweep,27.333333333333332,03:20,surplus,Same-day surplus,1633,400,-14.404164115125536,-33.6875,19.283335884874464,0.015817470341880312,2033,0.013108358676960159,2033
cutoff_sweep,27.333333333333332,03:20,steps,Same-day steps,1650,407,3676.9927272727273,3796.793611793612,-119.80088452088467,-0.014407480150332738,2057,0.007832935222901093,2033
cutoff_sweep,27.333333333333332,03:20,tdee,Same-day TDEE,1633,400,2226.6129822412736,2194.7075,31.905482241273603,0.0764568186523928,2033,0.052702716001881596,2033
cutoff_sweep,27.333333333333332,03:20,cal_next,Next-day calories,1632,400,2198.049632352941,2220.47,-22.42036764705881,-0.018227306061308613,2032,-0.013956177358475536,2032
cutoff_sweep,27.333333333333332,03:20,steps_next,Next-day steps,1649,407,3661.997574287447,3863.5651105651104,-201.5675362776633,-0.024242722683678216,2056,-0.019997883818359027,2033
cutoff_sweep,27.333333333333332,03:20,sleep_hours,Sleep duration,1650,407,8.029884848484848,6.923587223587223,1.1062976248976248,0.28837085504651666,2057,0.23780665208420462,2033
