sp_params,baseline,m0,a,b,c,rmse,corr,mean_m,frac_high,frac_low,score,trial_mean_abs_err,SURMOUNT-4_mid,STEP-1 extension_mid,STEP-4_mid
"tol=3.0,hold=7,rate=0.001",0,0.0,0.002,0.0005,200,2069.258408357679,-0.13044247065148,0.9057696420583613,0.872718539865514,0.060038424591738714,-2.9929018621863617,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=3.0,hold=14,rate=0.001",-100,0.3,0.005,0.002,0,2071.904545261924,-0.1378995828904267,0.907328567102043,0.8938520653218059,0.07829010566762729,-2.992903500704178,8.266055791705574,17.33621822143949,9.616114285031365,6.292426821437977
"tol=3.0,hold=7,rate=0.001",0,0.2,0.005,0.002,50,2070.0070129079304,-0.13446214241170382,0.9083151286708743,0.8948126801152738,0.07829010566762729,-2.992913374162758,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=3.0,hold=7,rate=0.001",0,0.1,0.002,0.0005,200,2069.258408357679,-0.13044247065148,0.9058176727980348,0.872718539865514,0.060038424591738714,-2.9929258775561984,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=3.0,hold=7,rate=0.001",0,0.3,0.005,0.002,50,2070.0070129079304,-0.13446214241170382,0.9083631594105477,0.8948126801152738,0.07829010566762729,-2.9929373895325946,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=3.0,hold=7,rate=0.001",0,0.2,0.002,0.0005,200,2069.258408357679,-0.13044247065148,0.9058657035377082,0.872718539865514,0.059558117195004805,-2.992949892926035,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=3.0,hold=7,rate=0.001",0,0.3,0.002,0.0005,200,2069.258408357679,-0.13044247065148,0.9059137342773816,0.872718539865514,0.059558117195004805,-2.992973908295872,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=3.0,hold=14,rate=0.001",-100,0.0,0.005,0.001,100,2071.3245467866036,-0.13645925796129063,0.9073763786576869,0.882804995196926,0.07252641690682037,-2.9930675704712475,8.266055791705574,17.33621822143949,9.616114285031365,6.292426821437977
"tol=3.0,hold=14,rate=0.001",-100,0.1,0.005,0.001,100,2071.3245467866036,-0.13645925796129063,0.9074244093973602,0.882804995196926,0.07252641690682037,-2.9930915858410843,8.266055791705574,17.33621822143949,9.616114285031365,6.292426821437977
"tol=3.0,hold=14,rate=0.001",-100,0.2,0.005,0.001,100,2071.3245467866036,-0.13645925796129063,0.9074724401370337,0.882804995196926,0.07204610951008646,-2.993115601210921,8.266055791705574,17.33621822143949,9.616114285031365,6.292426821437977
"tol=3.0,hold=14,rate=0.001",-100,0.3,0.005,0.001,100,2071.3245467866036,-0.13645925796129063,0.907520470876707,0.882804995196926,0.07204610951008646,-2.993139616580758,8.266055791705574,17.33621822143949,9.616114285031365,6.292426821437977
"tol=2.5,hold=7,rate=0.001",0,0.0,0.002,0.001,100,2072.1319021724676,-0.13346897119412993,0.9044584340120977,0.8794428434197886,0.06772334293948126,-2.9936065017066933,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=2.5,hold=7,rate=0.001",0,0.1,0.002,0.001,100,2072.1319021724676,-0.13346897119412993,0.9045064647517711,0.8794428434197886,0.06772334293948126,-2.99363051707653,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=2.5,hold=7,rate=0.001",0,0.2,0.002,0.001,100,2072.1319021724676,-0.13346897119412993,0.9045544954914446,0.8794428434197886,0.06724303554274735,-2.993654532446367,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
