date,fm,sp,surplus,pressure,required_control,control_stock,control_exerted,control_shortfall,surplus_30,required_30,stock_30,shortfall_30
2011-08-31,69.27,79.46093955392126,-852.0,560.5016754656698,912.5016754656698,156.27074669266125,156.27074669266125,756.2309287730086,-847.3333333333334,911.6876434811555,150.54405194088687,770.7175208531352
2011-09-01,69.02,79.22246816493357,-289.0,561.1357490713467,350.1357490713467,151.89118242027578,151.89118242027578,198.24456665107093,-826.1333333333333,890.7614038985173,150.6724797097984,749.6628535015853
2011-09-02,68.93,78.98738786715697,-548.0,553.1563326936329,601.1563326936329,148.4751222878151,148.4751222878151,452.68121040581775,-810.2333333333333,874.8243634291427,150.77265336954937,733.6256393724599
2011-09-03,68.77,78.75402240575156,-1030.0,549.1212323163357,1079.1212323163359,145.8105953844958,145.8105953844958,933.31063693184,-809.6333333333333,873.9731937722026,150.85078882415513,732.696334260914
2011-09-04,68.47,78.51913500938127,-1008.0,552.70242551597,1060.70242551597,143.7322643999067,143.7322643999067,916.9701611160632,-820.9333333333333,885.0456754375767,150.91173447874763,743.7078702716955
2011-09-05,68.18,78.28298883940441,-910.0,555.6643861672422,965.6643861672422,142.11116623192723,142.11116623192723,823.553219935315,-818.7,882.7870808891962,150.95927208932974,741.4017381127328
2011-09-06,67.91,78.0460694468812,-739.0,557.4838195784664,796.4838195784664,140.84670966090323,140.84670966090323,655.6371099175632,-825.6333333333333,889.6957299744315,150.99635142558384,748.2733078617141
2011-09-07,67.69,77.80953649381729,-1074.0,556.574507159951,1130.574507159951,139.8604335355045,139.8604335355045,990.7140736244465,-829.8333333333334,894.0149263107095,151.025273307862,752.563582315714
2011-09-08,67.38,77.57132555108232,-1047.0,560.5229053095281,1107.5229053095281,139.0911381576935,139.0911381576935,968.4317671518346,-838.1333333333333,902.520973196011,151.04783237603903,761.0470701328384
2011-09-09,67.07,77.33147494401335,-871.0,564.3811219207347,935.3811219207347,138.4910877630009,138.4910877630009,796.8900341577338,-827.9333333333333,892.6835453587397,151.06542844921705,751.1920462223892
2011-09-10,66.82,77.09139252448945,-1072.0,564.9265888469201,1136.9265888469201,138.02304845514072,138.02304845514072,998.9035403917794,-830.0333333333333,895.0124341658778,151.0791533862959,753.5072100924483
2011-09-11,66.51,76.84971318522048,-796.0,568.6842251871261,864.6842251871261,137.65797779500977,137.65797779500977,727.0262473921164,-867.8333333333334,923.8352416721153,151.08985883721743,777.7414183388522
2011-09-12,66.27,76.60807220211342,-1000.0,568.5939711162383,1068.5939711162382,137.37322268010763,137.37322268010763,931.2207484361306,-867.0666666666667,923.9308256302915,149.51596366048713,779.4108974737587
2011-09-13,65.98,76.36532669753403,-1032.0,571.1929683643714,1103.1929683643714,137.15111369048395,137.15111369048395,966.0418546738874,-864.2333333333333,921.9400490903117,148.2883254226375,778.6477591716286
2011-09-14,65.69,76.12150189878761,-1004.0,573.7326044333189,1077.732604433319,136.97786867857747,136.97786867857747,940.7547357547415,-864.3,922.7762847283121,147.33076759711477,780.4415526351517
2011-09-15,65.39,75.87639405667136,-928.0,576.7516731169247,1004.7516731169247,136.84273756929042,136.84273756929042,867.9089355476343,-893.3333333333334,952.5974392522245,146.58387249320702,809.3718504867395
2011-09-16,65.13,75.63094607719896,-978.0,577.5520342459429,1055.5520342459429,136.73733530404652,136.73733530404652,918.8146989418964,-884.4333333333333,944.8972169680535,145.67374395691257,802.5817567388632
2011-09-17,64.85,75.38470892848704,-542.0,579.4089910667877,621.4089910667877,136.65512153715628,136.65512153715628,484.75386952963146,-878.3333333333334,939.8441895270321,144.96384369860291,798.2386295561514
2011-09-18,64.7,75.1406698392895,-870.0,574.2368411609224,944.2368411609224,136.5909947989819,136.5909947989819,807.6458463619405,-865.9,928.3264282698541,144.41012149712137,787.2745905004547
2011-09-19,64.45,74.89649460270107,-1015.0,574.5572031485586,1089.5572031485585,136.5409759432059,136.5409759432059,953.0162272053526,-872.0,935.1240280572549,143.97821817996572,794.5040936050113
