com.samsung.shealth.sleep,6060029,2
com.samsung.health.sleep.datauuid,efficiency,original_efficiency,original_bed_time,has_sleep_data,com.samsung.health.sleep.pkg_name,com.samsung.health.sleep.create_time,com.samsung.health.sleep.time_offset,com.samsung.health.sleep.end_time,com.samsung.health.sleep.custom,original_wake_up_time,quality,com.samsung.health.sleep.deviceuuid,extra_data,com.samsung.health.sleep.start_time,com.samsung.health.sleep.update_time,com.samsung.health.sleep.comment
6b27675b-8c96-4af7-8f1c-ae71349b0d17,0.0,,,,com.sec.android.app.shealth,1543503759308,UTC-0400,1543501800000,,,0,Mz5pMh3q+T,,1543478400000,1543503759308,
e27d15ab-3289-4a2b-a935-d3fd5fb1c4d9,0.0,,,,com.sec.android.app.shealth,1561282328376,UTC+0400,1561276800000,,,0,4V/TlqPcbG,,1561251600000,1561282328376,
0730842c-3084-47b1-b764-bd5743ff9b62,0.0,,,,com.sec.android.app.shealth,1492027590962,UTC-0300,1491922800000,,,0,Q2GTsbBv8Q,,1491894000000,1492027590962,
0ac16490-b1c6-44cb-03de-d51330668155,97.52066,,,1,com.sec.android.app.shealth,1499305138267,UTC-0300,1499304240000,,,,PEzvKidhug,,1499297040000,1499305138267,
dd7612b1-7176-8fd3-6415-12a5c83ea52f,97.95918,,,1,com.sec.android.app.shealth,1507534376294,UTC-0300,1507533480000,,,,PEzvKidhug,,1507524720000,1507534376294,
74b3cd21-d46d-4100-843f-cd47f54d67a8,0.0,,,,com.sec.android.app.shealth,1535560333880,UTC-0300,1535550600000,,,0,Mz5pMh3q+T,,1535529600000,1535560333880,
56299562-b30b-4556-a14b-39854b547018,0.0,,,,com.sec.android.app.shealth,1545321295938,UTC-0400,1545321288410,,,0,Mz5pMh3q+T,,1545295800000,1545321295938,
9736ade7-8648-4de8-86d8-0ce9245b688b,0.0,,,,com.sec.android.app.shealth,1510328556833,UTC-0400,1509984600000,,,0,EHdtKydEi4,,1509957000000,1510328556833,
d3243ae9-8dfe-44df-a7d1-f592d846e398,0.0,,,,com.sec.android.app.shealth,1548518358951,UTC-0400,1548518357488,,,0,Mz5pMh3q+T,,1548484200000,1548518358951,
ae39cc79-69c3-a5c9-b91b-177fa2dffd77,60.0,,,1,com.sec.android.app.shealth,1559229885645,UTC-0300,1558562100000,,,,PEzvKidhug,ae39cc79-69c3-a5c9-b91b-177fa2dffd77.extra_data.json,1558559640000,1559229885645,
12d5a4d8-1901-693f-039c-11d5b93d0c3f,92.38095,,,1,com.sec.android.app.shealth,1522979032544,UTC-0300,1522978620000,,,,PEzvKidhug,,1522972380000,1522979032544,
01f9ceaa-0715-4b3f-9d31-9041dd4c50b1,0.0,,,,com.sec.android.app.shealth,1561713677454,UTC+0400,1561704000000,,,0,4V/TlqPcbG,,1561681200000,1561713677454,
